time,value
2025-02-01 14:42:38.254922+00:00,4095
2025-02-01 14:42:38.296644+00:00,4095
2025-02-01 14:42:38.303817+00:00,4095
2025-02-01 14:42:38.310213+00:00,4095
2025-02-01 14:42:38.314462+00:00,4095
2025-02-01 14:42:38.322081+00:00,4095
2025-02-01 14:42:38.327727+00:00,4095
2025-02-01 14:42:38.332834+00:00,4095
2025-02-01 14:42:38.338850+00:00,4095
2025-02-01 14:42:38.345532+00:00,4095
2025-02-01 14:42:38.360487+00:00,4095
2025-02-01 14:42:38.375524+00:00,4095
2025-02-01 14:42:38.390467+00:00,4095
2025-02-01 14:42:38.405513+00:00,4095
2025-02-01 14:42:38.419684+00:00,4095
2025-02-01 14:42:38.434924+00:00,4095
2025-02-01 14:42:38.450319+00:00,4095
2025-02-01 14:42:38.466418+00:00,4095
2025-02-01 14:42:38.480930+00:00,4095
2025-02-01 14:42:38.496401+00:00,4095
2025-02-01 14:42:38.511493+00:00,4095
2025-02-01 14:42:38.526088+00:00,4095
2025-02-01 14:42:38.540396+00:00,4095
2025-02-01 14:42:38.555170+00:00,4095
2025-02-01 14:42:38.568509+00:00,4095
2025-02-01 14:42:38.583945+00:00,4095
2025-02-01 14:42:38.599186+00:00,4095
2025-02-01 14:42:38.614829+00:00,4095
2025-02-01 14:42:38.629675+00:00,4095
2025-02-01 14:42:38.644626+00:00,4095
2025-02-01 14:42:38.659325+00:00,4095
2025-02-01 14:42:38.677917+00:00,4095
2025-02-01 14:42:38.693016+00:00,4095
2025-02-01 14:42:38.706594+00:00,4095
2025-02-01 14:42:38.722749+00:00,4095
2025-02-01 14:42:38.736033+00:00,4095
2025-02-01 14:42:38.749009+00:00,4095
2025-02-01 14:42:38.764480+00:00,4095
2025-02-01 14:42:38.779952+00:00,4095
2025-02-01 14:42:38.793048+00:00,4095
2025-02-01 14:42:38.807943+00:00,4095
2025-02-01 14:42:38.823214+00:00,4095
2025-02-01 14:42:38.838062+00:00,4095
2025-02-01 14:42:38.867910+00:00,4095
2025-02-01 14:42:38.883082+00:00,4095
2025-02-01 14:42:38.898241+00:00,4095
2025-02-01 14:42:38.913614+00:00,4095
2025-02-01 14:42:38.929432+00:00,4095
2025-02-01 14:42:38.944584+00:00,4095
2025-02-01 14:42:38.960192+00:00,4095
2025-02-01 14:42:38.973133+00:00,4095
2025-02-01 14:42:38.988669+00:00,4095
2025-02-01 14:42:39.003528+00:00,4095
2025-02-01 14:42:39.017086+00:00,4095
